id,idk_ratio,idk_count,valid_ratio,valid_count,non_match_count,match_ratio,response_count,match_count,anagram_x,correct,valid,response1,response2,response3,response4,response5,response6,response7,response8,response9
1,0.0,0,1.0,4,0,1.0,4,4,veah,have,['have'],have,have,have,have,,,,,
10,0.0,0,1.0,4,0,1.0,4,4,elik,like,['like'],like,like,like,like,,,,,
100,0.0,0,1.0,4,0,1.0,4,4,ongl,long,['long'],long,long,long,long,,,,,
101,0.42857142857142855,3,0.5714285714285714,4,3,0.5714285714285714,7,4,trwea,water,['water'],idk,water,water,idk,idk,water,water,,
102,0.42857142857142855,3,0.5714285714285714,4,3,0.5714285714285714,7,4,reessi,series,['series'],idk,series,series,idk,idk,series,series,,
103,0.0,0,1.0,8,0,1.0,8,8,meoh,home,['home'],home,home,home,home,home,home,home,home,
104,0.2,1,0.8,4,1,0.8,5,4,hwtei,white,"['withe', 'white']",idk,white,white,white,white,,,,
105,0.2,1,0.8,4,1,0.8,5,4,fuurte,future,['future'],idk,future,future,future,future,,,,
106,0.0,0,1.0,7,0,1.0,7,7,oolk,look,['look'],look,look,look,look,look,look,look,,
107,0.0,0,1.0,6,0,1.0,6,6,msall,small,['small'],small,small,small,small,small,small,,,
108,0.2,1,0.8,4,1,0.8,5,4,terhie,either,['either'],idk,either,either,either,either,,,,
109,0.0,0,0.6666666666666666,4,3,0.5,6,3,sema,same,"['mesa', 'seam', 'same']",seam,mase,mase,same,same,same,,,
11,0.0,0,1.0,6,0,1.0,6,6,rfist,first,['first'],first,first,first,first,first,first,,,
110,0.25,1,0.75,3,2,0.5,4,2,bsdea,based,"['based', 'beads']",idk,based,based,beads,,,,,
111,0.4,2,0.6,3,2,0.6,5,3,cipelo,police,['police'],idk,police,police,idk,police,,,,
112,0.0,0,0.6,3,2,0.6,5,3,esdu,used,"['duse', 'used']",used,used,used,dues,dues,,,,
113,0.0,0,1.0,4,3,0.25,4,1,alter,later,"['alter', 'later', 'ratel', 'alert']",alter,alert,later,alter,,,,,
114,0.2857142857142857,2,0.7142857142857143,5,2,0.7142857142857143,7,5,ahterr,rather,['rather'],idk,rather,rather,rather,rather,rather,idk,,
115,0.0,0,0.8333333333333334,5,1,0.8333333333333334,6,5,ohtb,both,['both'],both,both,both,both,both,borh,,,
116,0.0,0,1.0,5,0,1.0,5,5,odrer,order,['order'],order,order,order,order,order,,,,
117,0.25,1,0.75,3,1,0.75,4,3,senora,reason,"['senora', 'reason']",idk,reason,reason,reason,,,,,
118,0.0,0,1.0,5,0,1.0,5,5,tpar,part,"['part', 'trap']",part,part,part,part,part,,,,
119,0.0,0,1.0,7,0,1.0,7,7,tyarp,party,['party'],party,party,party,party,party,party,party,,
12,0.0,0,0.875,7,1,0.875,8,7,awylsa,always,['always'],always,always,always,always,always,always,always,akways,
120,0.3333333333333333,2,0.6666666666666666,4,3,0.5,6,3,rtorpe,report,"['report', 'porter']",idk,porter,report,report,report,idk,,,
121,0.0,0,1.0,7,0,1.0,7,7,emoc,come,['come'],come,come,come,come,come,come,come,,
122,0.0,0,1.0,5,0,1.0,5,5,nthak,thank,['thank'],thank,thank,thank,thank,thank,,,,
123,0.2,1,0.8,4,1,0.8,5,4,vlinig,living,['living'],idk,living,living,living,living,,,,
124,0.0,0,1.0,5,0,1.0,5,5,ndif,find,['find'],find,find,find,find,find,,,,
125,0.0,0,1.0,5,0,1.0,5,5,lkcab,black,['black'],black,black,black,black,black,,,,
126,0.2,1,0.4,2,3,0.4,5,2,ebhdin,behind,['behind'],idk,behind,behind,behiind,beihnd,,,,
127,0.0,0,1.0,6,0,1.0,6,6,hihg,high,['high'],high,high,high,high,high,high,,,
128,0.0,0,1.0,7,0,1.0,7,7,wohel,whole,['whole'],whole,whole,whole,whole,whole,whole,whole,,
129,0.2857142857142857,2,0.7142857142857143,5,2,0.7142857142857143,7,5,mekatr,market,['market'],idk,market,market,idk,market,market,market,,
13,0.0,0,1.0,8,0,1.0,8,8,orem,more,"['more', 'rome']",more,more,more,more,more,more,more,more,
130,0.0,0,0.8571428571428571,6,1,0.8571428571428571,7,6,ehpl,help,['help'],help,help,help,phel,help,help,help,,
131,0.16666666666666666,1,0.8333333333333334,5,1,0.8333333333333334,6,5,rtsoy,story,['story'],idk,story,story,story,story,story,,,
132,0.0,0,0.8333333333333334,5,2,0.6666666666666666,6,4,fromer,former,"['former', 'reform']",former,reform,morfer,former,former,former,,,
133,0.0,0,0.3333333333333333,2,4,0.3333333333333333,6,2,emga,game,['game'],mega,game,mega,game,mega,mage,,,
134,0.0,0,1.0,6,3,0.5,6,3,eatsl,least,"['least', 'stael', 'steal', 'stale', 'tesla', 'lates', 'slate']",stale,least,least,steal,least,steal,,,
135,0.2,1,0.6,3,4,0.2,5,1,etestr,street,"['setter', 'street', 'tester']",idk,tester,street,tester,stret,,,,
136,0.0,0,1.0,6,0,1.0,6,6,gvei,give,['give'],give,give,give,give,give,give,,,
137,0.0,0,0.6,3,2,0.6,5,3,asemn,means,"['manse', 'means', 'manes', 'mensa']",means,names,names,means,means,,,,
138,0.42857142857142855,3,0.14285714285714285,1,6,0.14285714285714285,7,1,ldonno,london,['london'],idk,donion,onion,idk,london,onion,idk,,
139,0.0,0,1.0,5,0,1.0,5,5,xtne,next,['next'],next,next,next,next,next,,,,
14,0.2,1,0.8,4,1,0.8,5,4,afret,after,['after'],idk,after,after,after,after,,,,
140,0.14285714285714285,1,0.8571428571428571,6,2,0.7142857142857143,7,5,ayrle,early,"['early', 'leary', 'relay', 'layer']",early,early,early,idk,layer,early,early,,
141,0.0,0,1.0,6,0,1.0,6,6,cnaehc,chance,['chance'],chance,chance,chance,chance,chance,chance,,,
142,0.2,1,0.8,4,2,0.6,5,3,ehac,each,"['each', 'ache']",each,each,idk,each,ache,,,,
143,0.0,0,1.0,7,0,1.0,7,7,clloa,local,['local'],local,local,local,local,local,local,local,,
144,0.2857142857142857,2,0.7142857142857143,5,2,0.7142857142857143,7,5,feraht,father,['father'],idk,father,father,idk,father,father,father,,
145,0.0,0,1.0,4,0,1.0,4,4,msut,must,"['must', 'smut', 'tums']",must,must,must,must,,,,,
146,0.0,0,1.0,5,0,1.0,5,5,noyug,young,['young'],young,young,young,young,young,,,,
147,0.2,1,0.8,4,1,0.8,5,4,aosrcs,across,['across'],idk,across,across,across,across,,,,
148,0.0,0,1.0,4,0,1.0,4,4,hswo,show,['show'],show,show,show,show,,,,,
