id,anagram_x,correct,response
001,otbau,about,about batou aotbu bat about about
002,yeowll,yellow,yellow yellow yellow yeow yellow yellow
003,lilts,still,still still tils slit still still
004,eorv,over,rove rove vore rove over over
005,eanrl,learn,learn learn learn reak learn learn
006,ilervs,silver,silver silver lervis liver silver livers
007,adorab,abroad,abroad badora adorab bad abroad abroade
008,saol,also,also laos loas ola laso also
009,trehe,there,there three three there three there
010,iethr,their,their their eithr their either their
011,enhw,when,when when when when when when
012,gjlenu,jungle,jungle jungle enugil gel jugle jungle
013,eryv,very,very very very very very very
014,latnp,plant,plant plant pantl plant plant plant
015,hgtin,thing,thing thing tighg night night thing
016,ufselu,useful,useful useful useful eluf useful useful
017,hhaelt,health,health health healt halt health health
018,grael,large,lager large gael lager large large
019,mite,time,time time mite time time time
020,leacp,place,place place peacl leap place place
021,ffctee,effect,effect etecff fetect feet effect effect
022,bjecto,object,object object object job object object
023,osme,some,some some some some some some
024,ginaa,again,again again niaga agina again again
025,ewtlha,wealth,wealth wealth thewl heat wealth wealth
026,tderes,desert,rested desert tedres dret desert desert
027,ncotai,action,action tocnai cotain cant action action
028,eehrt,three,three three heert there three there
029,konw,know,know know know wonk know know
030,eclcri,circle,circle celeri circle clerc circle circle
031,ktihn,think,think think ithhe think think think
032,nhgace,change,change change grace can change change
033,evyre,every,every every every every every every
034,husoe,house,house house House hose house house
035,vgie,give,give give grie give give give
036,mfor,from,from form form form from form
037,ponti,point,point piton point not point point
038,dolcu,could,could cloud docul cold cloud cloud
039,peleop,people,people people people peel people people
040,hwat,what,what what what what what what
041,itno,into,into noit into tino into oint
042,gltihf,flight,flight flight light flight flight filthy
043,omer,more,more rome more rome rome more
044,ysdtu,study,study study tusdy dusty study study
045,ttha,that,that that that that that that
046,heav,have,have have have have have have
047,hotre,other,other throe treho hot thero other
048,onusd,sound,sound sound sound udon sound sound
049,antw,want,want want want want want want
050,hwti,with,with with with whit with with
051,sheet,these,these these sheet sheet sheet sheet
052,akbc,back,back back bbakc back back back
053,tyeh,they,they they they they they they
054,azutrq,quartz,quartz quartz qazutr quart quartz quartz
055,uavcmu,vacuum,vacuum vacuum vacuum vaccum vacuum vacuum
056,iwll,will,will will will will will will
057,llpse,spell,spell spell pilse pell spell spell
058,eatrf,after,after featr featr eat after after
